movieName,Metascore_w,Author,AuthorHref,Date,Summary,InteractionsYesCount,InteractionsTotalCount,InteractionsThumbUp,InteractionsThumbDown
inside-out-2015,7,Tony1984,/user/Tony1984,"Nov 23, 2017","[ ""Its nowhere as good as either users or critics think it is. In its favour is excellent animation and the brilliant Bing Bong. The journey thru abstract thought was nicely done too. It wants to be a ‘Wizard of Oz’ or at least an ‘Up’, but it just doesn’t have the originality, Every motif you’ll recognise from somewhere else, There is even a copy of the minions. The moral of the story is that sadness and happiness go hand in hand but it really goes overboard on the sadness bit for a while.., small ones will love the colour and bigger ones will be a bit bored."" ]",0.0,0.0,0.0,0.0
ex-machina,7,Tony1984,/user/Tony1984,"Nov 22, 2017","[ ""Style over substance in Alex Garland's directorial debut. A stage play in essence but with the beautiful Norwegian landscape and an ultra sleek subterranean futuristic research slash eccentric billionaire den as background. The Turing test plot is very familiar and has been done better elsewhere numerous times. This pales in comparison to Blade Runner for example,the yardstick. Even the most recent AI flick I saw 'Morgan' is better. But still it’s compelling and entertaining.....and predictably depressing..Elon Musk would approve."" ]",0.0,0.0,0.0,0.0
inherent-vice,8,Tony1984,/user/Tony1984,"Nov 24, 2017","[ ""A mish mash of genres with influences plucked from here, there and everywhere. Based on Thomas Pynchon's book ( His signature note is odd character names), this oddity should be very difficult to adapt but PT Anderson manages brilliantly. It’s a weird concoction of Hunter S Thompson, Tarantino, The Big Lebowski, David Lynch, The Rockford Files jumbled up into 70's Cali Pot Noir. An era sadly gone, never to return. The convoluted narrative isn't the point here , more the performances. Phoenix is excellent, Brolin and Waterston too, and the cameo esque back ups are on the button. It grows on you. A slow burner, a day or two after watching you begin to appreciate it."" ]",0.0,0.0,0.0,0.0
big-hero-6,9,Tony1984,/user/Tony1984,"Jul 16, 2017","[ ""One of the best Disney productions in a long time. Top class animation and a very enjoyable quirkiness. The Japanese/American feel of San Franokyo is brilliant. It plucks at the heartstrings unashamedly but so what? They need to be plucked occasionally. Some might feel the story is cliched but not me, I enjoyed and its moral message of decency, kindness and self sacrifice is one I like."" ]",1.0,1.0,1.0,0.0
the-judge,7,Tony1984,/user/Tony1984,"Feb 11, 2017","[ ""Robert Downey Jr basically does Iron Man the verbal vomiting lawyer and Duvall is the stereotypical ethical  patriarch with a superiority complex. Cliched from beginning to end and criminally under-using top class supporting actors such as Vincent D'Onofrio, Billy Bob Thornton and Vera Farmiga. But despite that it feels good. The prodigal returns to small town America where family values are what matters just hits the right note.."" ]",1.0,1.0,1.0,0.0
how-to-train-your-dragon-2,8,Tony1984,/user/Tony1984,"Feb 15, 2017","[ ""Not quite as good as the the original but sequels are always tricky, Animation is top drawer, great humor and action, never a dull moment. Number 2 Dragon is more poignant and sad than necessary maybe but I think it's up to the viewers to decide their feelings on that one. It's hard to keep the small ones, the teenagers and the adults happy all at the same time but I think Dreamworks make a good shake at it.."" ]",1.0,1.0,1.0,0.0
calvary,9,Tony1984,/user/Tony1984,"Jul  3, 2017","[ ""Calvary is a dark tale saved by comedic timing. This is no advertisement for village living either despite the beautiful picturesque Sligo surroundings. Every villager is seriously disturbed or unlikable in one manner or another, including Father James who is having his own existential crisis. The script is beautiful and delivered in typical Irish style,eloquent and articulate yet plain and vulgar all in the same sentence. Dark gallows humour is ever present and necessary. Calvary would fail without it. There is a mystery plot too which is gripping enough. The minuses are characters feel a tad cliched, clerical abuse is a drab subject matter and there is a McGuffin involving the dog which was a bit stupid, Otherwise very well done."" ]",1.0,1.0,1.0,0.0
the-imitation-game,8,Tony1984,/user/Tony1984,"Jul 20, 2017","[ ""The historical purists have been up in arms about a host of inaccuracies in the movie but let's not allow  that take away from the movie and especially  the acting performances, which were excellent in such a British way..Cumberbatch was tremendous and played Turing more on the autism spectrum rather than on his sexuality. In fact the grave injustice that befell Turing is very underdone and a weak link. Otherwise the story is very entertaining and enjoyable, A Downton Abbey feel, especially in the location,wardrobe and settings area. Some of the same actors too. Very enjoyable despite the odd quibble."" ]",1.0,1.0,1.0,0.0
john-wick,8,Tony1984,/user/Tony1984,"Feb  7, 2017","[ ""Keanu Reeves is one of the unsung heroes of the big screen. It's considered cool(and safe) to mock his acting skills but he most definitely knows how to pick pitch perfect roles. And in this stylistic action flick he's awesome. Beautifully choreographed visceral mayhem. Top class production in every detail. The opening 10 minutes is enraging and thankfully John Wick provides satisfying karmic revenge."" ]",1.0,5.0,1.0,4.0
assassins-creed,8,Tony1984,/user/Tony1984,"Jan 30, 2017","[ ""This is a visual beauty. It captures the atmospheric essence of AC the game brilliantly, Beautifully produced, excellent choreography, score, background CGI, attention to detail,the whole lot.The Auto Da Fe scene is exceptionally good. Well cast, no weaknesses here. Fassbender is always good and Jeremy Irons rarely disappoints. It strays from the games on story line and that will annoy some ,but for me, I think they did a great job."", ""Ignore mainstream critics, a silly 34/100 score.  Stick to User reviews, far more integrity."" ]",1.0,2.0,1.0,1.0
wind-river,8,Tony1984,/user/Tony1984,"Oct  4, 2017","[ ""Jeremy Renner does his best Clint Eastwood in this atmospheric Wyoming thriller/drama. Elisabeth Olsen is excellent as the city gal who comes to appreciate the old style American West , its people and their stoic philosophy regarding the hardships of life.. It is of course a over the top, Wyoming is actually a very nice happy place and the Native American population are by no means lost causes as portrayed here, but still very enjoyable and different to the usual fare. The who dunnit is good, the soundtrack very good and the Wyoming backdrop excellent. Supporting cast is also excellent. Minus points for excessive unnecessary violence and the Wyoming Wildlife Service policy of killing mountain lions and wolves for worrying livestock. Seriously annoyed by that."" ]",2.0,3.0,2.0,1.0
baywatch,10,Tony1984,/user/Tony1984,"Oct 11, 2017","[ ""I'm giving Baywatch a 10 to compensate for the intellectually disabled reviewers who were inexplicably expecting Macbeth at the Globe. It's low brow simplicity. Everyone looks awesome. Clichéd and as formulaic as they come. I loved it. Wouldn't pay money to see it but great for TV."" ]",0.0,0.0,0.0,0.0
